artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Vishal Chandrashekhar,"Bodhai Kaname - From ""Oh Manapenne""",4qIMmEjV8gaEsfZML9LALx,2021,261946,67,0.152,0.516,0.405,3.44E-06,0.154,-12.327,0.0424,160.047,3,0.267
Anirudh Ravichander,"Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")",1UUgngRGzFWfgpyN0WAN1r,2022,243570,67,0.6,0.401,0.488,0,0.124,-8.417,0.0288,149.951,3,0.455
Dhibu Ninan Thomas,"Adiye - From ""Bachelor""",2tMoOS9grHtn4upzb4LwMG,2021,272000,75,0.445,0.709,0.454,0,0.136,-7.843,0.167,90.038,4,0.548
Devi Sri Prasad,Srivalli,1pRHVSjEXuhZf7sEfH3yYS,2021,221000,61,0.49,0.823,0.581,0,0.302,-6.069,0.036,107.036,4,0.78
Darbuka Siva,Mudhal Nee Mudivum Nee Title Track,4oNVmnywnXguyk76wkMuIb,2021,332702,65,0.641,0.556,0.521,0.000543,0.102,-10.806,0.0321,127.947,4,0.353
Vivek - Mervin,Cute Ponnu,1Bpvh9xYlcxHkWJMQuiNiA,2021,275624,52,0.254,0.75,0.813,0,0.298,-5.871,0.132,100.022,4,0.687
Devi Sri Prasad,Saami Saami,397k2vS0xPDxKKVXV46KtV,2021,224016,60,0.271,0.814,0.806,0.000241,0.228,-6.461,0.296,139.799,4,0.869
Karthik,"Thooriga - From ""Navarasa""",19O4hCGGm95UhvIyhwnNT5,2021,202135,63,0.0422,0.662,0.688,0.000918,0.431,-9.019,0.0413,102.95,4,0.365
Anirudh Ravichander,"Chellamma (From ""Doctor"")",0fGclndst25Qqy8j4u5De5,2020,236500,63,0.256,0.498,0.679,0.000325,0.0589,-7.252,0.214,99.702,3,0.743
Vivek - Mervin,Neethanadi,0zeN1wmbeITrxoPNrcOjHL,2022,235666,44,0.756,0.5,0.484,0,0.0572,-8.712,0.0268,134.987,3,0.275
G. V. Prakash,"Kaattu Payale (From ""Soorarai Pottru"")",2b4nWymybHj38A6XtQijiA,2020,246000,56,0.325,0.7,0.631,0.000246,0.376,-8.377,0.212,78.924,4,0.49
Santhosh Narayanan,"Bujji (From ""Jagame Thandhiram"")",6rJhjykEkCqm3H64uALhhf,2020,267203,56,0.0562,0.901,0.845,0,0.278,-3.465,0.139,117.97,4,0.943
Anirudh Ravichander,"Rendu Kaadhal (From ""Kaathuvaakula Rendu Kaadhal"")",4Lm0D6ituSgOi1AXLhUqcx,2021,260124,66,0.767,0.288,0.462,0.00704,0.112,-8.91,0.0335,159.53,4,0.217
Anirudh Ravichander,Andha Kanna Paathaakaa,0qvoxfYodIfe14gaidhnsV,2020,194500,60,0.301,0.747,0.86,0.0383,0.0743,-4.071,0.279,90.445,4,0.625
Vivek - Mervin,"Yaaraiyum Ivlo Azhaga - From ""Sulthan""",6PDkbkVKBCMIwm1wlDhT3s,2021,298666,62,0.375,0.684,0.593,1.21E-05,0.0998,-6.267,0.0321,89.994,4,0.372
Ghibran,"Yaar Azhaippadhu - From ""Maara""",5kByOzRm7KpgFUOeClZbek,2020,250325,56,0.675,0.626,0.525,0,0.0645,-7.417,0.0338,114.921,3,0.45
Thaman S,Mangalyam,7n5Jcqw85WSfJHrMXsk5N2,2021,260698,62,0.447,0.837,0.948,2.51E-05,0.19,-5.135,0.199,111.028,4,0.825
Santhosh Narayanan,"Nethu (From ""Jagame Thandhiram"")",6O9Y7nRXMHOsYt5ALfMyeU,2021,231708,52,0.89,0.54,0.359,0.000329,0.116,-8.029,0.0326,153.822,3,0.508
G. V. Prakash,"Veyyon Silli (From ""Soorarai Pottru"")",2gqapLp6Br7jcR1QQNBVFz,2020,304000,50,0.204,0.669,0.606,0,0.372,-9.284,0.0429,119.998,3,0.653
Harris Jayaraj,"Oru Manam (From ""Dhruva Natchathiram"")",55mEN7iiqTNzWfYjF8QbQn,2020,340254,58,0.457,0.641,0.474,2.54E-06,0.106,-8.974,0.034,76.006,4,0.588
Jecin George,Chellakuttiye (Avastha Love Song),2uAl7AJJsYCCo2pqcSQI7Y,2020,225585,56,0.543,0.436,0.544,0.00489,0.17,-7.268,0.0451,169.955,4,0.313
Leon James,"Kadhaippoma (From ""Oh My Kadavule"")",5cfKBuE5XKtlaNOVjQwA9H,2020,282208,68,0.451,0.575,0.577,3.98E-06,0.264,-6.674,0.0432,90.012,4,0.157
A.R. Rahman,"Thumbi Thullal (From ""Cobra"")",6RxPsQFgCHmjibKGS1QiRU,2020,283929,50,0.337,0.613,0.587,4.83E-05,0.237,-10.566,0.0505,81.983,4,0.393
G. V. Prakash,"Kaathodu Kaathanen (From ""Jail"")",4tkSvA7zfuhwgHQbEeNEJU,2020,310000,49,0.739,0.368,0.174,0.000262,0.122,-17.293,0.0327,80.06,4,0.326
A.R. Rahman,Unakaga,5RR6Q4yCrbGiRCU5YbpNaY,2019,266053,54,0.678,0.58,0.414,2.26E-05,0.257,-10.928,0.0343,136.93,3,0.27
Mugen Rao,Sathiyama,6t7XOZk8Hv07QJOZVHekFv,2020,278068,54,0.691,0.63,0.505,0,0.084,-7.359,0.0433,144.82,4,0.367
